Country,Code,Priority 1,Priority 2,
,AF,Generalised System of Preferences,,
,AG,EPA Cariforum,,
,AI,Overseas Countries and Territories,,
,AL,Pan-Euro-Mediterranean Convention,,
,AM,GSP Plus,,
,AO,Generalised System of Preferences,,
,AQ,Overseas Countries and Territories,,
,AW,Overseas Countries and Territories,,
,BA,Pan-Euro-Mediterranean Convention,,
,BB,EPA Cariforum,,
,BD,Generalised System of Preferences,,
,BF,Generalised System of Preferences,,
,BI,Generalised System of Preferences,,
,BJ,Generalised System of Preferences,,
,BL,Overseas Countries and Territories,,
,BM,Overseas Countries and Territories,,
,BO,GSP Plus,,
,BQ,Overseas Countries and Territories,,
,BS,EPA Cariforum,,
,BT,Generalised System of Preferences,,
,BW,EPA South African Development Community (SADC),,
,BZ,EPA Cariforum,,
,CA,FTA Canada,,
,CD,Generalised System of Preferences,,
,CF,Generalised System of Preferences,,
,CG,Generalised System of Preferences,,
,CI,EPA Market Access Regulation,,
,CK,Generalised System of Preferences,,
,CL,FTA Chile - Mexico,,
,CM,EPA Market Access Regulation,,
,CO,"FTA Colombia, Ecuador and Peru",,
,CR,FTA Central America,,
,CV,GSP Plus,,
,CW,Overseas Countries and Territories,,
,DJ,Generalised System of Preferences,,
,DM,EPA Cariforum,,
,DO,EPA Cariforum,,
,DZ,Euro-Mediterranean Free Trade Area,,
,EC,"FTA Colombia, Ecuador and Peru",,
,EG,Euro-Mediterranean Free Trade Area,,
,EG,Pan-Euro-Mediterranean Convention,,
,EH,Euro-Mediterranean Free Trade Area,,
,ER,Generalised System of Preferences,,
,ET,Generalised System of Preferences,,
,FJ,EPA Pacific,,
,FK,Overseas Countries and Territories,,
,FM,Generalised System of Preferences,,
,FO,Pan-Euro-Mediterranean Convention,,
,FO,FTA European Economic Area (EEA),,
,GD,EPA Cariforum,,
,GE,FTA Deep and Comprehensive Trade Agreement,,
,GH,EPA Market Access Regulation,,
,GL,Overseas Countries and Territories,,
,GM,Generalised System of Preferences,,
,GN,Generalised System of Preferences,,
,GQ,Generalised System of Preferences,,
,GS,Overseas Countries and Territories,,
,GT,FTA Central America,,
,GW,Generalised System of Preferences,,
,GY,EPA Cariforum,,
,HN,FTA Central America,,
,HT,Generalised System of Preferences,,
,ID,Generalised System of Preferences,,
,IL,Euro-Mediterranean Free Trade Area,,
,IN,Generalised System of Preferences,,
,IO,Overseas Countries and Territories,,
,IS,FTA European Economic Area (EEA),,
,IS,Pan-Euro-Mediterranean Convention,,
,JM,EPA Cariforum,,
,JO,Euro-Mediterranean Free Trade Area,,
,JO,Specific Measures - Jordan,,
,JP,FTA Japan,,
,KE,EPA Market Access Regulation,,
,KE,Generalised System of Preferences,,
,KG,GSP Plus,,
,KH,Generalised System of Preferences,,
,KI,Generalised System of Preferences,,
,KM,Generalised System of Preferences,,
,KN,EPA Cariforum,,
,KR,FTA South Korea,,
,KY,Overseas Countries and Territories,,
,LA,Generalised System of Preferences,,
,LB,Euro-Mediterranean Free Trade Area,,
,LC,EPA Cariforum,,
,LI,FTA European Economic Area (EEA),,
,LI,Pan-Euro-Mediterranean Convention,,
,LR,Generalised System of Preferences,,
,LS,Generalised System of Preferences,,
,LS,EPA South African Development Community (SADC),,
,MA,Euro-Mediterranean Free Trade Area,,
,MD,FTA Deep and Comprehensive Trade Agreement,,
,ME,Pan-Euro-Mediterranean Convention,,
,MG,EPA Eastern and Southern Africa,,
,MG,Generalised System of Preferences,,
,MK,Pan-Euro-Mediterranean Convention,,
,ML,Generalised System of Preferences,,
,MM,Generalised System of Preferences,,
,MN,GSP Plus,,
,MR,Generalised System of Preferences,,
,MS,Overseas Countries and Territories,,
,MU,EPA Eastern and Southern Africa,,
,MW,Generalised System of Preferences,,
,MX,FTA Chile - Mexico,,
,MZ,Generalised System of Preferences,,
,MZ,EPA South African Development Community (SADC),,
,NA,EPA South African Development Community (SADC),,
,NC,Overseas Countries and Territories,,
,NE,Generalised System of Preferences,,
,NG,Generalised System of Preferences,,
,NI,FTA Central America,,
,NO,Pan-Euro-Mediterranean Convention,,
,NO,FTA European Economic Area (EEA),,
,NP,Generalised System of Preferences,,
,NR,Generalised System of Preferences,,
,NU,Generalised System of Preferences,,
,PA,FTA Central America,,
,PE,"FTA Colombia, Ecuador and Peru",,
,PF,Overseas Countries and Territories,,
,PG,EPA Pacific,,
,PH,GSP Plus,,
,PM,Overseas Countries and Territories,,
,PN,Overseas Countries and Territories,,
,PS,Euro-Mediterranean Free Trade Area,,
,PS,Pan-Euro-Mediterranean Convention,,
,RW,Generalised System of Preferences,,
,SB,Generalised System of Preferences,,
,SC,EPA Eastern and Southern Africa,,
,SD,Generalised System of Preferences,,
,SG,FTA Singapore,,
,SH,Overseas Countries and Territories,,
,SL,Generalised System of Preferences,,
,SO,Generalised System of Preferences,,
,SR,EPA Cariforum,,
,SS,Generalised System of Preferences,,
,ST,Generalised System of Preferences,,
,SV,FTA Central America,,
,SZ,EPA South African Development Community (SADC),,
,TC,Overseas Countries and Territories,,
,TD,Generalised System of Preferences,,
,TF,Overseas Countries and Territories,,
,TG,Generalised System of Preferences,,
,TJ,Generalised System of Preferences,,
,TL,Generalised System of Preferences,,
,TN,Euro-Mediterranean Free Trade Area,,
,TR,Pan-Euro-Mediterranean Convention,,
,TT,EPA Cariforum,,
,TV,Generalised System of Preferences,,
,UA,FTA Deep and Comprehensive Trade Agreement,,
,UG,Generalised System of Preferences,,
,UZ,Generalised System of Preferences,,
,VC,EPA Cariforum,,
,VG,Overseas Countries and Territories,,
,VN,Generalised System of Preferences,,
,VU,Generalised System of Preferences,,
,WF,Overseas Countries and Territories,,
,WS,EPA Pacific,,
,WS,Generalised System of Preferences,,
,XK,Pan-Euro-Mediterranean Convention,,
,XK,Autonomous Trade Preferences,,
,XS,Pan-Euro-Mediterranean Convention,,
,YE,Generalised System of Preferences,,
,ZA,EPA South African Development Community (SADC),,
,ZM,Generalised System of Preferences,,
,ZW,EPA Eastern and Southern Africa,,
